study_name,reference_num,year,,A _CF,B_CS,C_TF,D _TS,cumA,cumB,cumC,cumD,cum_odds
Wolff,11,1966,3,1,41,2,43,1,41,2,43,0.524390244
Va,10,1967,2,20,174,5,181,21,215,7,224,3.125581395
VA,10,1967,3,3,60,1,67,24,275,8,291,3.174545455
Carter,41,1970,3,21,27,10,39,45,302,18,330,2.731788079
Barraclough,38,1973,3,0,58,0,58,45,360,18,388,2.694444444
HSCSG,36,1974,2,52,167,43,190,97,527,61,578,1.744050767
VA-NHLBI,25,1977,1,0,504,0,508,97,1031,61,1086,1.674993242
USPHS,24,1977,2,6,190,1,192,103,1221,62,1278,1.738844416
HDFP stratum I,27,1979,1,88,3834,59,3844,191,5055,121,5122,1.599434322
HDFP stratum 2,27,1979,2,36,968,25,1023,227,6023,146,6145,1.586287951
HDFP stratum 3,27,1979,3,34,495,18,516,261,6518,164,6661,1.626378921
Oslo,32,1980,1,5,374,0,406,266,6892,164,7067,1.663135413
AnBPS,34,1980,1,22,1684,13,1708,288,8576,177,8775,1.664874779
mrc,35,1985,1,109,8545,60,8640,397,17121,237,17415,1.703870219
EWPHE,39,1985,3,48,376,32,384,445,17497,269,17799,1.682828049
Coope,40,1986,3,39,426,20,399,484,17923,289,18198,1.70043672
